speaker,video_ids,videos,topics,has_wikipedia_page,wikipedia_url,wikipedia_summary,occupation,birth_date,nationality,popularity_score,average_popularity_score
Maria Van Kerkhove,[84885],1,"['global issues, science, disease, health, leadership, public health, Vaccines, virus, government, pandemic, coronavirus']",True,https://en.wikipedia.org/wiki/Maria_Van_Kerkhove,"Maria DeJoseph Van Kerkhove (born February 20, 1977) is an American infectious disease epidemiologist. With a background in high-threat pathogens, Van Kerkhove specializes in emerging and re-emerging infectious diseases and is based in the Health Emergencies Program at the World Health Organization (WHO).[1] She is the technical lead of COVID-19 response and the head of emerging diseases and zoonosis unit at WHO.[2][3]",,"Maria Rosanne DeJoseph (1977-02-20) February 20, 1977 (age 48)New Hartford, New York, U.S.",,1274.4852233676977,1274.49
Mariam Veiszadeh,[103236],1,"['business, social change, race, leadership, work, TEDx, worklife']",True,https://en.wikipedia.org/wiki/Mariam_Veiszadeh,,LawyerActivist,"Mariam Zamiri Veiszadeh1984 (age 40–41)Kabul, Afghanistan",,1429.4804575786463,1429.48
Marian Bantjes,[891],1,"['design, innovation, art, typography']",True,https://en.wikipedia.org/wiki/Marian_Bantjes,"Marian Bantjes (born 1963) is a Canadian designer, artist, illustrator, typographer and writer. Describing her work as graphic art,[1] Marian Bantjes is known for her custom lettering, intricate patterning and decorative style.[2] Inspired by  illuminated manuscripts, Islamic calligraphy, Baroque ornamentation,[1] Marian Bantjes creates detailed work, often combining the forms of her disparate influences.[2]","Typographer, Illustrator, Graphic Designer",1963 (age 61–62),,134.09696862258463,134.1
Marian Wright Edelman,[31812],1,"['social change, history, community, activism, race, leadership, poverty, United States, law, justice system, kids, equality']",True,https://en.wikipedia.org/wiki/Marian_Wright,,Children's rights activist,"Marian Wright (1939-06-06) June 6, 1939 (age 86)Bennettsville, South Carolina, U.S.",,598.9255106127353,598.93
Mariana Atencio,[13584],1,"['personal growth, identity, journalism, immigration']",True,https://en.wikipedia.org/wiki/Mariana_Atencio,"Mariana Atencio (born April 2, 1984) is an American journalist, television host, author and speaker who was formerly a correspondent for NBC News. Atencio is a native of Venezuela and holds a master's degree from the Columbia University Graduate School of Journalism. In 2020, Atencio cofounded GoLike, a multimedia production company.[1]",Journalist and Author,"Mariana del Carmen Atencio Cervoni (1984-04-02) April 2, 1984 (age 41)Caracas, Venezuela",,9115.49696969697,9115.5
Mariana Lin,[53089],1,"['technology, design, computers, future, AI, algorithm, machine learning']",False,,,,,,12.220299345182411,12.22
'Gbenga Sesan,[72245],1,"['technology, education, Africa, society, equality']",True,https://en.wikipedia.org/wiki/'Gbenga_Sesan,Oluwagbenga Olabisi Sesan (born 27 July 1977) is a Nigerian social entrepreneur known for his contributions to the field of ICT.[1],Social ICT entrepreneur,"Oluwagbenga Olabisi Sesan (1977-07-27) July 27, 1977 (age 48)Akure, Ondo State, Nigeria",,867.2508551881414,867.25
Mariano Sigman,[2510],1,"['science, health, cognitive science, future, communication, language, brain, self, mental health, writing, identity, neuroscience']",False,,,,,,1645.6674230906792,822.83
Marie Howe,[42086],1,"['performance, poetry, physics, humanity']",True,https://en.wikipedia.org/wiki/Marie_Howe,"Marie Howe (born 1950) is an American poet. Howe served as New York Poet Laureate from 2012–2016. She is currently a Chancellor of the Academy of American Poets and Poet-in-Residence at The Cathedral of St John the Divine. Throughout her career, she has received fellowships from the John Simon Guggenheim Memorial Foundation, the National Endowment for the Arts, the Harvard Radcliffe Institute, and The Fine Arts Work Center in Provincetown.[1]","Poet, Professor","(1950-10-18) October 18, 1950 (age 75)Rochester, New York, U.S.",American,7.075296108291032,7.08
Marie Wallace,[10045],1,"['technology, data, online privacy']",True,https://en.wikipedia.org/wiki/Marie_Wallace,"Marie Wallace (born May 19, 1939) is an American stage and television actress, best known for her performances in the gothic soap opera Dark Shadows.",Actress,"(1935-05-19) May 19, 1935 (age 90)New York City, New York, U.S.",,39.7974727974728,39.8
