speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
David Gruber,2,627.58,0.0,0,0,1,6.95850018327585
Frank Gehry,2,144.85,0.0,0,0,1,6.092757179751681
Billy Collins,2,378.14,0.0,0,0,1,6.511146725237054
Geoff Mulgan,2,117.21,0.0,0,0,1,6.0431867436540525
Charles Leadbeater,2,233.07,0.0,0,0,1,6.250973672969219
Charles Limb,2,210.39,0.0,0,0,1,6.210298655216173
Dalia Mogahed,2,1315.34,50.0,1,1,1,26.52535274932606
Julia Bacha,2,230.91,0.0,0,0,1,6.247099861754644
Dambisa Moyo,2,549.68,0.0,0,0,1,6.818791899194619
David Hoffman,2,139.93,0.0,0,0,0,0.2505781957872867
Alex Steffen,2,246.51,0.0,0,0,1,6.275077387193247
Esther Duflo,2,2879.01,50.0,1,1,1,29.32968718538894
Ella Al-Shamahi,2,539.12,0.0,0,0,1,6.799853266590025
Anthony Atala,2,476.6,0.0,0,0,1,6.687727953101469
Alexander Betts,2,712.19,0.0,0,0,0,1.2768870872933893
Julia Dhar,2,2171.89,50.0,1,1,0,22.228160870463824
Frans Lanting,2,364.68,0.0,0,0,1,6.4870071423906674
Damon Davis,2,244.56,0.0,0,0,1,6.271580196513421
Charmian Gooch,2,411.33,0.0,0,0,1,6.5706707040388
Bob Mankoff,2,630.08,0.0,0,0,1,6.9629837610704985
Damon Horowitz,2,247.3,0.0,0,0,1,6.276494197776356
Frans de Waal,2,1329.86,0.0,0,0,1,8.217990988726005
David Kelley,2,745.26,0.0,0,0,0,1.3361958543609929
Hugh Herr,2,2607.17,50.0,1,1,1,28.842160870310103
David Kwong,2,719.4,0.0,0,0,1,7.12317302851768
David Lammy,2,1049.39,0.0,0,0,1,7.714987363100037
António Guterres,2,569.39,0.0,0,0,1,6.854140426527623
David Lang,2,447.59,0.0,0,0,0,0.8023452135078465
Ellen Jorgensen,2,499.85,0.0,0,0,1,6.729425226591696
Bono,2,283.53,0.0,0,0,1,6.341470207176394
George Blair-West,2,1769.33,0.0,0,0,0,3.172794859227058
George Dyson,2,150.22,0.0,0,0,0,0.2690326019900578
Chimamanda Ngozi Adichie,2,4350.69,50.0,1,1,1,31.969043892919963
Dr. Bernice King,2,967.63,0.0,0,0,0,1.735001132039342
Aparna Pallavi,2,563.9,0.0,0,0,0,1.010939186826049
Aparna Rao,2,236.96,0.0,0,0,1,6.257950120017691
Brené Brown,2,8390.38,100.0,2,1,1,57.54735202585594
Chip Kidd,2,511.56,0.0,0,0,1,6.750426304981827
Julia Sweeney,2,692.69,0.0,0,0,1,7.075270483359662
Joy Buolamwini,2,329.19,0.0,0,0,1,6.423358272017846
Jon Ronson,2,3692.16,50.0,1,1,1,30.788015698876148
