,speaker,video_ids,videos,views,topics,average_views
969,Dana Cowin,[26920],1,37964,"['sustainability, social change, food, conservation, farming']",37964.0
970,Dana Gunders,[136665],1,499503,"['climate change, environment, global issues, food, humanity, Countdown']",499503.0
971,Dana Kanze,[30161],1,2151916,"['business, entrepreneur, gender, women, women in business, TEDx, money, investing']",2151916.0
972,Dana R. Fisher,[140640],1,494091,"['climate change, environment, social change, community, activism, natural disaster, sociology, Countdown']",494091.0
973,Danae Wolfe,[31691],1,58258,"['science, art, insects, conservation, ecology']",58258.0
974,Daniel Alexander Jones,[65069],1,426148,"['performance, community, theater, personal growth, TED Fellows, vulnerability']",426148.0
975,Daniel Bögre Udell,[51105],1,2330512,"['culture, education, community, language, humanity, TED Residency, indigenous peoples']",2330512.0
976,Daniel Goldstein,[1310],1,2888205,"['culture, business, economics, decision-making, self, finance, behavioral economics']",2888205.0
977,Daniel Goleman,[200],1,3034739,"['psychology, community, brain, compassion, empathy']",3034739.0
978,Daniel H. Cohen,[1805],1,1976046,"['culture, philosophy, language, TEDx']",1976046.0
979,Daniel Hallak,[138979],1,531825,"['business, relationships, communication, TEDx, trust']",531825.0
980,Daniel J. Watts,[75973],1,459195,"['performance, art, storytelling, dance, work, personal growth, productivity, TEDx, pandemic, work-life balance, coronavirus']",459195.0
981,Daniel Kahneman,[779],1,7321633,"['culture, science, economics, psychology, philosophy, happiness, brain']",7321633.0
982,Daniel Kish,[2224],1,1786424,"['fear, disability, blindness']",1786424.0
984,Daniel Krawczyk,[53156],1,72829,"['culture, psychology, biology, decision-making']",72829.0
985,Daniel Levitin,[2361],1,25770010,"['memory, health, cognitive science, medicine, brain, mental health, neuroscience']",25770010.0
986,Daniel Libeskind,[589],1,1139750,"['technology, design, architecture, cities, creativity']",1139750.0
987,Daniel Lismore,[42946],1,504159,"['culture, design, creativity, art, beauty, identity, fashion']",504159.0
988,Daniel Lubetzky,[130299],1,1130606,"['global issues, business, education, social change, communication, community, activism, personal growth, humanity']",1130606.0
989,Daniel Molina,[15707],1,226636,"['self, society, identity, TED en Español']",226636.0
990,Daniel Pauly,[1373],1,296330,"['climate change, environment, science, animals, fish, future, pollution, biodiversity, data, Mission Blue, conservation, ecology, marine biology, ocean']",296330.0
991,Daniel Sachau,[96613],1,216512,"['psychology, happiness, money, finance, Life']",216512.0
992,Daniel Schnitzer,[1406],1,414901,"['global issues, sustainability, technology, poverty, TEDx, renewable energy']",414901.0
993,Daniel Sherling,[31244],1,14503,"['science, education, curiosity, kids']",14503.0
994,Daniel Streicker,[50853],1,2259015,"['science, disease, health, biology, medicine, illness, public health, Vaccines, virus, pandemic, ebola, TEDMED']",2259015.0
995,Daniel Suarez,[1766],1,1981719,"['technology, entertainment, robots, war, drones, writing']",1981719.0
996,Daniel Susskind,[9951],1,1718598,"['economics, computers, innovation, future, work, AI, society, algorithm']",1718598.0
997,Daniel Tammet,[1175],1,2591398,"['culture, brain']",2591398.0
998,Daniel Wolpert,[1261],1,2248929,"['science, engineering, robots, cognitive science, evolution, biology, brain, decision-making, consciousness, AI, math, neuroscience']",2248929.0
999,Daniel Zavala-Araiza,[148015],1,571779,"['climate change, environment, science, technology, pollution, Countdown']",571779.0
1000,Daniela Rus,[129088],1,903838,"['science, technology, innovation, future, AI, machine learning']",903838.0
1001,Daniela Zamudio,[8147],1,40566,"['business, leadership, decision-making, self, society']",40566.0
1002,Daniele Quercia,[2162],1,2946949,"['technology, design, cities, happiness, maps']",2946949.0
1003,Daniella Ballou-Aares,[126391],1,614840,"['politics, business, social change, leadership, democracy, government, policy']",614840.0
1004,Danielle Butcher Franz,[141067],1,391355,"['environment, politics, innovation, conservation, Countdown']",391355.0
1005,Danielle Citron,[48532],1,3597057,"['technology, computers, media, AI, humanity, democracy, social media, Internet, machine learning, online privacy']",3597057.0
1006,Danielle Feinberg,[2466],1,3456000,"['science, technology, design, computers, entertainment, art, film, visualizations, magic, beauty, code']",3456000.0
1007,Danielle N. Lee,[39584],1,2084682,"['science, education, biology, race, sex, TED Fellows']",2084682.0
1008,Danielle R. Moss,[32412],1,2078409,"['education, success, motivation, personal growth, potential, kids']",2078409.0
1009,Danielle Torley,[67429],1,1652504,"['death, personal growth, self, humanity, fear']",1652504.0
1010,Danielle Wood,[9473],1,1470747,"['science, technology, innovation, exploration, space, humanity, society']",1470747.0
1011,Danielle de Niese,[1235],1,930813,"['entertainment, creativity, theater, sex']",930813.0
1012,Danit Peleg,[2388],1,2094765,"['design, engineering, invention, business, art, future, fashion, shopping, 3D printing, manufacturing']",2094765.0
1013,Dannagal G. Young,[66614],1,2070093,"['politics, media, psychology, communication, society, identity, democracy, journalism']",2070093.0
1014,Danny Dorling,[2591],1,1735978,"['economics, visualizations, humanity, TEDx, data, international development, maps']",1735978.0
1016,Dao Nguyen,[6234],1,1677680,"['culture, entertainment, media, creativity, communication, social media, Internet, data']",1677680.0
1017,Daphne Bavelier,[1618],1,9123715,"['education, brain, gaming, TEDx']",9123715.0
1018,Daphne Halikiopoulou,[160067],1,292076,"['politics, economics, leadership, society, Europe, immigration']",292076.0
1019,Daphne Koller,[1531],1,3011065,"['global issues, computers, education, Internet, code']",3011065.0
1020,Daria van den Bercken,[2100],1,1091619,"['entertainment, music, performance']",1091619.0
1021,Darieth Chisolm,[25727],1,1895519,"['social change, activism, women, law, society, crime, TEDx, Internet, justice system']",1895519.0
1022,Dario Gil,[5132],1,38283,"['business, collaboration, work, AI, humanity, machine learning']",38283.0
1023,Darren Walker,[65046],1,277898,"['culture, social change, art, philanthropy, society, capitalism, inclusion, equality']",277898.0
1024,Darria Long,[63172],1,3099383,"['psychology, personal growth, family, TEDx, work-life balance']",3099383.0
1025,Darrick Hamilton,[28318],1,1693562,"['global issues, economics, social change, future, poverty, society, money, government, policy, international development, equality']",1693562.0
1026,Darya Shaikh,[147980],1,428215,"['sustainability, collaboration, relationships, communication, community, Countdown']",428215.0
1027,Dasha Navalnaya,[119023],1,1286710,"['politics, corruption, social change, activism, war, democracy, human rights, protest']",1286710.0
1028,Dave Brain,[2545],1,2076063,"['science, future, universe, exploration, water, Planets, microbiology, TEDx, data, discovery, Mars, astrobiology, aliens']",2076063.0
1029,Dave Clark,[66945],1,1573334,"['climate change, environment, sustainability, business, leadership, Countdown']",1573334.0
1030,Dave Eggers,[233],1,1796582,"['culture, global issues, design, entertainment, collaboration, education, activism, TED Prize, writing, teaching, kids']",1796582.0
1031,Dave Isay,[2222],1,2671193,"['history, storytelling, TED Prize, United States, journalism']",2671193.0
1032,Dave Matthews,[86287],1,37330,"['music, performance, Countdown']",37330.0
1033,Dave Meslin,[1119],1,2089785,"['culture, global issues, politics, collaboration, community, TEDx']",2089785.0
1034,Dave Raggio,[140321],1,506205,"['business, entrepreneur, collaboration, innovation, product design, leadership']",506205.0
1035,Dave Sivaprasad,[109786],1,1155683,"['climate change, environment, science, social change, community, government, policy, Countdown']",1155683.0
1036,Dave Troy,[2150],1,1394076,"['culture, cities, visualizations, social media']",1394076.0
1037,Dave deBronkart,[1181],1,749264,"['culture, science, technology, collaboration, health care, TEDx, data']",749264.0
1038,Davey Vaughn,[12818],1,7334,"['music, performance']",7334.0
1039,David Agus,[761],1,898257,"['technology, health, health care, cancer, medicine']",898257.0
1040,David Anderson,[1689],1,1661826,"['brain, insects, mental health, neuroscience, TEDx']",1661826.0
1041,David Andrew Quist,[103713],1,1675642,"['environment, science, sustainability, technology, innovation, food, humanity, TEDx, fungi']",1675642.0
1042,David Asch,[50855],1,3492732,"['health, health care, psychology, motivation, decision-making, humanity, behavioral economics, TEDMED']",3492732.0
1043,David Autor,[2655],1,2026302,"['technology, business, economics, collaboration, innovation, social change, history, work, humanity, society, productivity, TEDx, agriculture, behavioral economics, farming, manufacturing']",2026302.0
1044,David Baker,[43407],1,2238125,"['science, technology, nature, biology, future, synthetic biology, The Audacious Project']",2238125.0
1045,David Baron,[2849],1,2287021,"['science, nature, astronomy, universe, Moon, beauty, TEDx, solar system, Sun']",2287021.0
1046,David Biello,[84188],1,579749,"['climate change, science, weather, Countdown']",579749.0
1047,David Binder,[1552],1,736248,"['performance, community, theater']",736248.0
1048,David Birch,[1466],1,259406,"['technology, self, TEDx']",259406.0
1049,David Bismark,[997],1,641857,"['culture, global issues, politics, technology, design, democracy, government']",641857.0
1050,David Blaine,[741],1,29399989,"['performance, biology, medicine, magic']",29399989.0
1051,David Blood,[118671],1,660565,"['climate change, environment, global issues, science, sustainability, business, money, finance, Countdown, investing']",660565.0
1052,David Bolinsky,[147],1,2402340,"['science, technology, design, entertainment, health, film, medicine, visualizations, animation']",2402340.0
1057,David Cage,[22919],1,865256,"['culture, technology, design, entertainment, media, innovation, creativity, art, storytelling, gaming, animation']",865256.0
1058,David Camarillo,[2581],1,1693661,"['science, technology, design, engineering, invention, innovation, health, product design, brain, mental health, neuroscience, TEDx, medical research, kids']",1693661.0
1059,David Cameron,[768],1,809905,"['global issues, politics, business']",809905.0
1060,David Carroll,[52064],1,63216,"['technology, law, Internet, data, online privacy']",63216.0
1061,David Carson,[436],1,1044188,"['design, photography, typography, exploration, humor']",1044188.0
1062,David Casarett,[2735],1,3079297,"['science, social change, health, health care, cancer, communication, medicine, mental health, writing, medical research, policy, TEDMED, addiction, drugs']",3079297.0
1063,David Chalmers,[2045],1,3697218,"['philosophy, brain, consciousness, neuroscience']",3697218.0
1064,David Christian,[1118],1,14686640,"['history, universe, visualizations, humanity, Big Bang, Internet']",14686640.0
1065,David Damberger,[1300],1,378567,"['global issues, engineering, TEDx, international development']",378567.0
1067,David Eagleman,[2215],1,3615342,"['technology, brain, blindness']",3615342.0
1069,David Fajgenbaum,[157718],1,414531,"['science, technology, disease, health, health care, medicine, AI, The Audacious Project']",414531.0
1070,David Farrell,[23306],1,93593,"['history, violence']",93593.0
1071,David Finnigan,[134949],1,1099050,"['climate change, environment, social change, art, communication, community, theater, Countdown']",1099050.0
1072,David Fleischer,[26919],1,70581,"['politics, social change, activism, democracy, LGBTQIA+']",70581.0
1074,David Grady,[2135],1,2920472,"['business, communication, work, productivity']",2920472.0
1075,David Griffin,[324],1,1544970,"['culture, global issues, design, entertainment, animals, storytelling, photography']",1544970.0
1077,David H. Rosmarin,[145679],1,1004709,"['psychology, relationships, communication, personal growth, TEDx, emotions']",1004709.0
1078,David Hanson,[657],1,1165105,"['technology, design, engineering, entertainment, robots, demo, body language']",1165105.0
1079,David Heymann,[60084],1,2386819,"['global issues, disease, health, illness, public health, Vaccines, virus, pandemic, coronavirus']",2386819.0
1081,David Holt,[413],1,651054,"['culture, invention, entertainment, music, performance, storytelling, demo']",651054.0
1082,David Hooker,[10263],1,40291,"['design, education, art, visualizations, society']",40291.0
1083,David Ikard,[56988],1,2423598,"['education, history, storytelling, race, society, TEDx']",2423598.0
1084,David J. Bier,[54153],1,2011002,"['social change, history, United States, law, government, immigration, policy']",2011002.0
1085,David Katz,[8788],1,2225229,"['business, innovation, pollution, poverty, plastic, ocean']",2225229.0
1086,David Keith,[192],1,1612407,"['climate change, global issues, science, technology, engineering, business, china']",1612407.0
1088,David Korins,[13923],1,1894820,"['design, creativity, theater, self, TEDx']",1894820.0
1092,David Lee,[2895],1,2094473,"['technology, business, innovation, robots, creativity, future, work']",2094473.0
1093,David Lindell,[60835],1,388487,"['technology, transportation, demo, TEDx, driverless cars']",388487.0
1094,David Logan,[651],1,1914505,"['culture, business, communication, leadership, society, TEDx, indigenous peoples']",1914505.0
1095,David M. Howard,[111819],1,1066497,"['science, technology, evolution, biology, history, communication, language, TEDx, human body']",1066497.0
1096,David MacKay,[1460],1,616996,"['climate change, global issues, sustainability, math, solar energy, wind energy, TEDx, data, electricity, renewable energy']",616996.0
1097,David Macaulay,[215],1,802237,"['culture, design, cities, art, communication, humor, ancient world, books']",802237.0
1098,David McCandless,[937],1,3952123,"['design, computers, visualizations, data']",3952123.0
1099,David McWilliams,[118062],1,1081990,"['culture, business, economics, history, poetry, humanity, finance']",1081990.0
1100,David Merrill,[457],1,1975645,"['technology, design, invention, business, computers, music, education, art, kids, toys']",1975645.0
1101,David Miliband,[2805],1,1568889,"['global issues, collaboration, social change, future, history, community, activism, natural disaster, humanity, TED Books, society, government, policy, refugees, kids']",1568889.0
1102,David Perry,[361],1,1443320,"['technology, design, business, entertainment, gaming']",1443320.0
1103,David Peterson,[49002],1,1731837,"['culture, innovation, creativity, art, language, literature, humanity, writing, TEDx, grammar']",1731837.0
1104,David Pizarro,[1597],1,813774,"['politics, science, cognitive science, psychology, history, brain, decision-making, sociology, sex, smell, TEDx, ethics']",813774.0
1106,David Puts,[21150],1,321089,"['science, love, anthropology, sex']",321089.0
1107,David Puttnam,[1924],1,997981,"['politics, media, democracy, TEDx, journalism']",997981.0
1108,David R. Dow,[1480],1,4356964,"['global issues, death, storytelling, law, prison, TEDx, justice system']",4356964.0
1109,David R. Liu,[39689],1,2612438,"['science, technology, biotech, genetics, innovation, disease, health, biology, future, virus, CRISPR']",2612438.0
1110,David R. Williams,[2726],1,2091951,"['health, health care, race, medicine, humanity, illness, public health, society, identity, TEDMED, equality']",2091951.0
1111,David Rockwell,[8],1,478186,"['culture, design, architecture, cities, collaboration, death, interview, memory, urban planning, United States, natural disaster']",478186.0
1112,David Rothkopf,[2326],1,1347449,"['global issues, politics, terrorism, war, United States, TED Books, democracy, fear, government, international relations']",1347449.0
1113,David S. Rose,[353],1,1566379,"['technology, invention, business, investing, public speaking']",1566379.0
1114,David Sedlak,[2404],1,1289764,"['climate change, environment, global issues, sustainability, design, engineering, industrial design, urban planning, innovation, future, water, public health, chemistry, TEDx, infrastructure']",1289764.0
1115,David Sengeh,[1971],1,936415,"['global issues, technology, prosthetics, TED Fellows']",936415.0
1116,David Steindl-Rast,[1880],1,9522142,"['culture, religion, happiness, mindfulness']",9522142.0
1117,David Suh,[141871],1,499810,"['art, photography, personal growth, self']",499810.0
1118,David Titley,[3615],1,1047920,"['climate change, global issues, sustainability, military, nature, natural disaster, weather']",1047920.0
1119,David Wallace-Wells,[60080],1,2370830,"['climate change, environment, science, sustainability, social change, future, society, Anthropocene, Countdown']",2370830.0
1120,David Wengrow,[95451],1,2518570,"['culture, social change, history, anthropology, humanity, ancient world, archaeology']",2518570.0
1121,David Wenham,[49115],1,184343,"['entertainment, performance, creativity, film']",184343.0
1122,David Whyte,[2846],1,1295973,"['performance, art, poetry, personal growth, self, humanity, writing']",1295973.0
1123,David Witzeneder,[63242],1,9592,"['global issues, sustainability, innovation, food, community']",9592.0
1124,David York,[24876],1,73536,"['death, aging, decision-making, money, finance']",73536.0
1125,Davonte Green,[148339],1,444404,"['gender, leadership, personal growth, society, TEDx, youth, emotions']",444404.0
1126,Dawn Landes,[2248],1,1372442,"['entertainment, music, performance']",1372442.0
1127,Dawn Lippert,[84571],1,1668298,"['climate change, sustainability, community, finance, Countdown, investing']",1668298.0
1128,Dawn Wacek,[27750],1,1792347,"['education, community, library, society, TEDx, books, kids']",1792347.0
1129,Dayananda Saraswati,[674],1,530923,"['global issues, religion, self, compassion']",530923.0
1130,Dayo Ogunyemi,[13035],1,1022344,"['entertainment, social change, Africa, creativity, art, future, humanity, society']",1022344.0
1131,DeAndrea Salvador,[23129],1,1612686,"['environment, science, sustainability, technology, economics, social change, future, community, activism, energy, public health, society, solar energy, TED Fellows, finance, electricity']",1612686.0
1132,Dean Furness,[60504],1,4035587,"['sports, motivation, personal growth, self, humanity, identity, disability']",4035587.0
1135,Dean R. Lomax,[96516],1,1748365,"['science, history, paleontology, ancient world, dinosaurs, TEDx, discovery']",1748365.0
1136,Deanna Van Buren,[11486],1,1221145,"['social change, United States, society, prison, justice system']",1221145.0
1137,Deb Chachra,[136654],1,524521,"['climate change, sustainability, technology, engineering, energy, infrastructure, Countdown, renewable energy']",524521.0
1138,Deb Roy,[1092],1,3266201,"['time, language, brain, kids']",3266201.0
1139,Deb Willis,[6493],1,1038532,"['politics, collaboration, social change, creativity, art, history, communication, race, photography, humanity, society, family, identity, equality']",1038532.0
1140,Debbie Lovich,[82559],1,2109769,"['culture, business, social change, leadership, time, work, personal growth, work-life balance']",2109769.0
1143,Deborah Lipstadt,[2769],1,1632190,"['global issues, history, communication, war, violence, humanity, law, writing, society, TEDx']",1632190.0
1144,Deborah Rhodes,[1047],1,1094763,"['science, technology, business, cancer, medicine']",1094763.0
1145,Deborah Scranton,[171],1,608040,"['global issues, technology, entertainment, storytelling, film, war']",608040.0
1146,Debra Jarvis,[2120],1,1182028,"['health care, cancer, identity']",1182028.0
1147,Dee Boersma,[861],1,469581,"['global issues, science, animals, birds, Mission Blue, ocean']",469581.0
1148,Deepa Narayan,[53059],1,642558,"['social change, gender, community, women, society, feminism, india, equality']",642558.0
1149,Deepa Purushothaman,[87481],1,1793348,"['business, gender, race, work, women, women in business']",1793348.0
1150,Deepika Kurup,[2672],1,1321870,"['global issues, science, technology, design, invention, innovation, health, product design, motivation, water, humanity, illness, public health, bacteria, society, chemistry, solar energy, india, kids']",1321870.0
1151,Deeyah Khan,[2662],1,1485545,"['social change, community, activism, terrorism, motivation, violence, humanity, society, family, identity, TEDx, Europe, Middle East, kids']",1485545.0
1152,Deja Foxx,[160683],1,206203,"['culture, technology, social change, personal growth, society, social media']",206203.0
1154,Delali Bright,[19136],1,25724,"['culture, women in business, beauty']",25724.0
1155,Demis Hassabis,[129163],1,1112878,"['science, technology, innovation, future, AI, humanity, human body, tech']",1112878.0
1156,Dena Simmons,[2646],1,1559899,"['education, community, race, motivation, personal growth, society, family, identity, fear, teaching, kids, equality']",1559899.0
1157,Denis Dutton,[1008],1,2746177,"['culture, design, evolution, brain, society, beauty']",2746177.0
1158,Denise Herzing,[1758],1,1692326,"['science, computers, animals, cognitive science, biology, communication, language, brain, neuroscience, ocean']",1692326.0
1159,Denise Zmekhol,[61904],1,10860,"['architecture, history, community, film, Brazil']",10860.0
1161,Derek Banta,[23325],1,15549,"['data, online privacy']",15549.0
1162,Derek Paravicini,[1808],1,1673665,"['entertainment, music, performance, TEDx, disability, Autism spectrum disorder']",1673665.0
1163,Derek Sarno,[83530],1,1686238,"['climate change, environment, sustainability, food, animals, Countdown']",1686238.0
1165,Derren Brown,[44912],1,2921019,"['entertainment, performance, art, illusion, magic']",2921019.0
1166,Desiree Akhavan,[127921],1,730982,"['creativity, art, storytelling, community, personal growth, self, family, identity, LGBTQIA+']",730982.0
1167,Dessa,[46597],1,4487587,"['music, memory, art, love, relationships, brain, neuroscience, TEDx, vulnerability, emotions']",4487587.0
1168,Detroit Youth Choir,[122224],1,99274,"['entertainment, music, performance, Countdown']",99274.0
1169,Deutsche Philharmonie Merck,[31245],1,1675,"['music, performance']",1675.0
1170,Deval Patrick,[87246],1,1860938,"['politics, race, United States, democracy, TEDx, policy, justice system']",1860938.0
1171,Devdutt Pattanaik,[686],1,2499996,"['culture, global issues, business, india']",2499996.0
1172,Devita Davison,[5072],1,1349385,"['culture, cities, food, community, personal growth, public health, society, agriculture, farming, gardening']",1349385.0
1173,Dexter Dias,[66800],1,1771626,"['global issues, social change, race, law, society, TEDx, justice system']",1771626.0
1174,Diana Adams,[88741],1,2169719,"['social change, relationships, parenting, law, family, diversity, inclusion, human rights, kids, equality, LGBTQIA+']",2169719.0
1175,Diana Dosik,[5144],1,189017,"['business, marketing, leadership, work']",189017.0
1176,Diana Greene Foster,[122059],1,734971,"['politics, science, social change, health, health care, gender, women, society, family, human rights']",734971.0
1177,Diana Laufenberg,[1034],1,2465918,"['culture, education, TEDx, kids']",2465918.0
1179,Diana Reiss,[1786],1,800979,"['technology, animals, Internet']",800979.0
1180,Diane Allen,[62504],1,173925,"['music, personal growth, productivity']",173925.0
1181,Diane Benscoter,[578],1,1386829,"['religion, activism']",1386829.0
1182,Diane Kelly,[1468],1,4884481,"['science, health, animals, nature, evolution, biology, biodiversity, humor, sex, human body']",4884481.0
1183,Diane Knutson,[42702],1,46894,"['environment, global issues, health, activism, pollution']",46894.0
1184,Diane Wolk-Rogers,[14608],1,2539251,"['culture, education, social change, history, communication, community, activism, leadership, United States, violence, society']",2539251.0
1185,Dianna Cohen,[986],1,1115015,"['global issues, sustainability, consumerism, plastic, Mission Blue, Anthropocene, ocean']",1115015.0
1186,Diarra Bousso,[126568],1,592339,"['climate change, environment, sustainability, innovation, fashion']",592339.0
1187,Dick M. Carpenter II,[62263],1,2126950,"['social change, law, society, TEDx, policy, justice system']",2126950.0
1188,Didier Sornette,[1768],1,1613293,"['global issues, business, economics, finance']",1613293.0
1190,Dilip Ratha,[2105],1,1515580,"['business, economics, finance']",1515580.0
1191,Dimitar Sasselov,[920],1,1334540,"['technology, biology, astronomy, universe, Planets, telescopes, astrobiology, aliens']",1334540.0
1192,Dina Katabi,[19851],1,1663078,"['science, technology, medicine, AI, medical research, machine learning']",1663078.0
1193,Dina Zielinski,[35766],1,2011426,"['science, technology, DNA, computers, future, TEDx, data']",2011426.0
1194,Dion Drew,[20756],1,78528,"['success, work, society']",78528.0
1195,Divya Siddarth,[126447],1,623580,"['technology, computers, social change, community, AI, democracy, data']",623580.0
1196,Dixon Chibanda,[10376],1,3212034,"['collaboration, innovation, social change, Africa, communication, community, personal growth, humanity, illness, depression, mental health, compassion, empathy, society']",3212034.0
1197,Diébédo Francis Kéré,[1888],1,1388572,"['sustainability, architecture, Africa']",1388572.0
1198,Djazia Satour,[53090],1,5053,"['music, performance, Africa, creativity, anthropology, humanity']",5053.0
1199,Dolly Chugh,[26915],1,5187877,"['science, cognitive science, psychology, personal growth, brain, decision-making, self, ethics']",5187877.0
1201,Dominic Price,[76335],1,3374443,"['happiness, motivation, personal growth, decision-making, self, TEDx, work-life balance']",3374443.0
1202,Don Levy,[1639],1,820536,"['history, film, animation']",820536.0
1203,Don Norman,[480],1,2468017,"['design, creativity, happiness']",2468017.0
1205,Donald Hoffman,[2277],1,5460046,"['science, memory, animals, cognitive science, evolution, biology, brain, consciousness, neuroscience, sight']",5460046.0
1206,Donald Sadoway,[1401],1,2521012,"['technology, invention, energy, electricity, renewable energy']",2521012.0
1207,Dong Woo Jang,[1790],1,2564312,"['culture, invention, demo, Asia']",2564312.0
1208,Donna Murphy,[148435],1,275681,"['technology, music, performance, art, future, AI, humanity']",275681.0
1209,Donnel Baird,[120096],1,645624,"['climate change, sustainability, technology, design, energy, United States, infrastructure, Countdown, renewable energy']",645624.0
1210,Dorcas Naishorua,[133290],1,514448,"['climate change, environment, global issues, sustainability, food, Africa, community, agriculture, farming, Countdown']",514448.0
1211,Doreen Koenning,[31236],1,18746,"['health care, cancer, biology']",18746.0
1212,Dorie Clark,[90821],1,2190301,"['business, leadership, time, work, motivation, personal growth, women in business, TEDx, work-life balance, worklife']",2190301.0
1213,Doris Kearns Goodwin,[363],1,2140516,"['politics, entertainment, history, storytelling, sports, work-life balance']",2140516.0
1214,Doris Kim Sung,[1598],1,1316902,"['climate change, sustainability, technology, design, engineering, invention, architecture, art, TEDx']",1316902.0
1215,Doris Mitsch,[119218],1,786250,"['nature, creativity, art, storytelling, photography, birds']",786250.0
1216,Doris Sung,[134948],1,524796,"['architecture, urban planning, creativity, future, infrastructure, public space']",524796.0
1217,Dorothy Roberts,[2428],1,1693694,"['social change, disease, health, health care, activism, race, medicine, sociology, illness, law, public health, society, Slavery, medical research, equality']",1693694.0
1218,Dorsa Amir,[51781],1,78898,"['history, parenting, anthropology, kids']",78898.0
1219,Doug Roble,[41224],1,758703,"['technology, design, entertainment, art, film, visualizations, animation, emotions']",758703.0
1220,Douglas Beal,[5145],1,49543,"['economics, government, international development']",49543.0
1221,Douglas Rushkoff,[28236],1,1901852,"['technology, business, social change, AI, humanity, society, social media, data, algorithm, online privacy']",1901852.0
1222,Douglas Thomas,[45970],1,409719,"['design, history, typography, Moon, space, humanity, TEDx, solar system']",409719.0
1225,Dr. Robert Talisse,[18845],1,9865,"['politics, democracy']",9865.0
1226,Dr. Thomas Boothby,[56500],1,43835,"['environment, science, innovation, animals, medicine, biodiversity']",43835.0
1227,Dr. Turi King,[36407],1,107504,"['DNA, genetics, history, forensics, archaeology']",107504.0
1228,Dragana Rogulja,[42700],1,41777,"['environment, science, health, evolution, sleep']",41777.0
1229,Dread Scott,[21584],1,1466153,"['culture, politics, social change, art, United States, humanity, society']",1466153.0
1230,Drew Berry,[1322],1,3930699,"['science, sustainability, DNA, biotech, genetics, computers, biology, visualizations, TEDx, code']",3930699.0
1231,Drew Curtis,[1422],1,1154520,"['business, entrepreneur, law']",1154520.0
1232,Drew Dudley,[1355],1,6987861,"['community, leadership, motivation, TEDx']",6987861.0
1233,Drew Humphreys,[23308],1,42585,"['business, leadership, machine learning']",42585.0
1234,Drew Philp,[12571],1,1404348,"['culture, cities, community, United States, infrastructure']",1404348.0
1235,Drew Silverstein,[44608],1,9987,"['technology, entertainment, music, creativity, AI']",9987.0
1236,Duarte Geraldino,[2879],1,1238391,"['social change, community, United States, society, family, journalism, immigration, TED Residency']",1238391.0
1237,Duckwrth,[96335],1,13720,"['music, performance']",13720.0
1238,Duncan Cowles,[14611],1,8048,"['film, humor']",8048.0
1239,Duncan Keegan,[148349],1,297887,"['technology, death, love, storytelling, language, AI, family, emotions']",297887.0
1240,Dundee Gouin,[141974],1,7874,"['economics, personal growth, money, finance']",7874.0
1241,Dustin Ballard,[148434],1,424298,"['technology, music, creativity, art, future, AI']",424298.0
1242,Dustin Burke,[86722],1,1986249,"['global issues, technology, business, consumerism, shopping, pandemic']",1986249.0
1243,Dustin Schroeder,[11226],1,1041277,"['climate change, science, technology, flight, nature, exploration, TEDx, Antarctica, glaciers']",1041277.0
1244,Dustin Yellin,[2319],1,2474368,"['collaboration, creativity, art']",2474368.0
1245,Dwan Reece,[78169],1,1976318,"['culture, social change, history, race, United States, society, TEDx']",1976318.0
1246,Dwight Stitt,[8149],1,23188,"['parenting, family, youth, kids']",23188.0
1247,Dwinita Mosby Tyler,[65043],1,2224407,"['social change, activism, race, society, TEDx, equality']",2224407.0
1248,Dyan deNapoli,[1208],1,467646,"['global issues, science, collaboration, animals, birds, TEDx, ocean']",467646.0
1249,Dyhia Belhabib,[127524],1,552742,"['technology, innovation, AI, law, crime, ocean, tech']",552742.0
1250,Dylan Marron,[15214],1,5158060,"['social change, communication, personal growth, empathy, society, Internet, bullying']",5158060.0
1251,Débora Mesa Molina,[31821],1,649638,"['technology, design, engineering, architecture, innovation, nature, creativity, beauty']",649638.0
1253,ELEW,[53099],1,5832,"['music, performance']",5832.0
1254,Eames Demetrios,[590],1,874591,"['design, creativity, film, product design, kids']",874591.0
1255,Eben Bayer,[971],1,1362456,"['environment, sustainability, technology, nature, product design, plastic, manufacturing, Anthropocene, fungi']",1362456.0
1256,Ebony Roberts,[61357],1,2267195,"['relationships, communication, parenting, personal growth, family, TEDx, kids']",2267195.0
1258,Ed Cage,[2392],1,4909557,"['entertainment, music, performance, art, family']",4909557.0
1259,Ed Gavagan,[1566],1,1134677,"['storytelling, medicine, United States, violence, crime']",1134677.0
1260,Ed Newton-Rex,[146100],1,529938,"['technology, creativity, art, AI, data, policy']",529938.0
1261,Ed Ulbrich,[469],1,1123879,"['technology, business, entertainment, film, aging, animation']",1123879.0
1262,Ed Yong,[1955],1,2016368,"['science, animals, biology, brain, biodiversity, insects, microbiology, nanotechnology']",2016368.0
1264,Eddie Jaku,[46906],1,2254912,"['storytelling, happiness, personal growth, emotions']",2254912.0
1265,Eddie Obeng,[1580],1,1763891,"['technology, business, education, creativity, success, personal growth, productivity']",1763891.0
1266,Eddie Woo,[31006],1,3805825,"['education, math']",3805825.0
1267,Eddy Cartaya,[1889],1,744642,['exploration'],744642.0
1268,Edi Rama,[1664],1,687589,"['global issues, cities, urban planning, art, community, TEDx, Europe, government']",687589.0
